"filename", "language", "XML", "Markdown", "MS SQL", "YAML", "Java", "JSON", "PostCSS", "Java Properties", "comment", "blank", "total"
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/item/admin-auction-card.fxml", "XML", 47, 0, 0, 0, 0, 0, 0, 0, 10, 11, 68
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/item/auction-card.fxml", "XML", 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/item/profile-auction-card.fxml", "XML", 55, 0, 0, 0, 0, 0, 0, 0, 10, 11, 76
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/item/star-auction-card.fxml", "XML", 52, 0, 0, 0, 0, 0, 0, 0, 14, 14, 80
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/item/upcoming-auction-card.fxml", "XML", 44, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/modal/promote-modal.fxml", "XML", 75, 0, 0, 0, 0, 0, 0, 0, 15, 13, 103
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/profile/profile-sidebar.fxml", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 9, 6, 31
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/shell/footer.fxml", "XML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/shell/header.fxml", "XML", 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/shell/navbar.fxml", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/components/shell/star-auction-carousel.fxml", "XML", 34, 0, 0, 0, 0, 0, 0, 0, 16, 10, 60
